,,,,,,,,,,,,,,, GOVERNMENT OF MEGHALAYA.,,,,,,,,,,,,,,,,, Area: In Hectares ,,,,,
,,,,,,,,,,,,,"DIRECTORATE OF AGRICULTURE, MEGHALAYA, SHILLONG.",,,,,,,,,,,,,,,,,, Production: In Metric Tonnes ,,,,,,
,STATE: MEGHALAYA,(Provisional),,,,,,,,,"DISTRICT WISE AREA, PRODUCTION & YIELD OF AGRICULTURAL CROPS FOR 2013-2014",,,,,,,,,,,,,,,,,,,,, Yield: In Kg/Hectare. ,,,,,
,,,Ri-Bhoi District ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sl ,NAME OF,,,,,East Khasi Hills ,,,West Khasi Hills ,,South west Khasi Hills ,,,,East Jaintia Hills ,,,WestJaintia Hills ,,,East Garo Hills ,,North,Garo Hills ,,,West Garo Hills ,,South West Garo ,,,South Garo Hills ,,,TOTAL MEGHALAYA ,,
No. ,CROPS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Area ,Prodn. ,AY ,Area ,Prodn. ,AY ,Area ,Prodn. ,AY ,Area ,Prodn. ,AY ,Area ,Prodn ,AY ,Area ,Prodn. ,AY ,Area ,Prodn. ,AY ,Area ,Prodn ,AY ,Area ,Prodn. ,AY ,Area ,Prodn. ,AY ,Area ,Prodn. ,AY ,Area ,Prodn. ,AY 
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
,RICE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Autumn ,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) ,,157,440,2803,280,842,3007,,62,2480,61,129,2115,27,63,2333,77,185,2403,5837,13713,2349,4985,11120,2231,11296,23688,2097,5408,11184,2068,4897,9797,2001,33050,71223,2155
,Rice ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b) ,Winter Rice ,9269,29001,3129,5429,11500,2118,5975,10184,1704,1720,2837,1649,4338,8499,1959,7911,15624,1975,3154,5414,1717,3683,7222,1961,11340,32263,2845,7374,20791,2820,3346,7303,2183,63539,150638,2371
,,,,,,,,,,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,
c) ,Spring Rice ,181,350,1934,125,250,2000,20,44,,34,84,2471,21,45,2143,77,166,2156,30,52,1733,83,120,1446,7726,35084,4541,4879,22168,4544,268,322,1201,13444,58685,4365
TOTAL RICE ,,9607,29791,3101,5834,12592,2158,6020,10290,1709,1815,3050,1680,4386,8607,1962,8065,15975,1981,9021,19179,2126,8751,18462,2110,30362,91035,2998,17661,54143,3066,8511,17422,2047,110033,280546,2550
2,Wheat ,- ,- ,- ,- ,- ,- ,4,5,1250,- ,- ,- ,- ,- ,- ,- ,- ,- ,13,14,1077,37,47,1270,179,353,1972,189,370,1958,- ,- ,- ,422,789,1870
3,Maize ,1584,4877,3079,2092,6735,3219,3076,5661,1840,1362,2211,1623,350,755,2157,2851,5126,1798,792,1489,1880,293,544,1857,3136,7039,2245,1489,3533,2373,1000,1685,1685,18025,39655,2200
,SMALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,MILLETS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) ,Finger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Millet ,11,12,1091,72,83,1153,172,190,1105,25,29,1160,- ,- ,- ,155,199,1284,215,167,777,36,28,778,202,136,673,- ,- ,- ,21,33,1571,909,877,965
b) ,Foxtail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,10,1111,48,66,1375,42,54,1286,5,6,1200,- ,- ,- ,47,68,1447,161,209,1298,36,45,1250,827,491,594,206,142,689,153,173,1131,1534,1264,824
,Millet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pearl Millet ,- ,- ,- ,44,50,1136,47,47,1000,7,8,1143,- ,- ,- ,- ,- ,- ,50,48,960,30,32,1067,55,30,545,26,10,385,58,68,1172,317,293,924
d) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Job’s tear ,- ,- ,- ,49,38,776,- ,- ,- ,- ,- ,- ,,,,,,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,49,38,776
e) ,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,5,1000,40,61,1525,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,45,66,1467
,Millets ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SMALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MILLETS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25,27,1080,253,298,1178,261,291,1115,37,43,1162,- ,- ,- ,202,267,1322,426,424,995,102,105,1029,1084,657,606,232,152,655,232,274,1181,2854,2538,889
5,PULSES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,6,,,18,,,,,,,,,,,,,,,,,,98,,,,,1882
a) ,Pea ,56,62,1107,562,1973,3511,54,115,2130,,11,1833,,15,833,100,105,1050,193,205,1062,105,113,1076,720,862,1197,295,373,1264,,320,3265,2207,4154,
b) ,Cow Pea ,10,14,1400,15,48,3200,13,20,1538,3,7,2333,22,21,955,32,34,1063,119,94,790,106,81,764,817,1478,1809,148,224,1514,323,275,851,1608,2296,1428
c) ,Lentil ,- ,- ,- ,74,148,2000,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,17,24,1412,24,35,1458,633,605,956,447,425,951,32,46,1438,1227,1283,1046
d) ,Tur (Arhar) ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,70,67,957,48,45,938,573,772,1347,315,439,1394,135,102,756,1141,1425,1249
e) ,Gram ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,312,288,923,405,408,1007,743,745,1003,276,312,1130,69,70,1014,1805,1823,1010
TOTAL,PULSES ,66,76,1152,651,2169,3332,67,135,2015,9,18,2000,40,36,900,132,139,1053,711,678,954,688,682,991,3486,4462,1280,1481,1773,1197,657,813,1237,7988,10981,1375
,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11282,34771,3082,8830,21794,2468,9428,16382,1738,3223,5322,1651,4776,9398,1968,11250,21507,1912,10963,21784,1987,9871,19840,2010,38247,103546,2707,21052,59971,2849,10400,20194,1942,139322,334509,2401
FOODGRAINS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,OILSEEDS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) ,Castor ,4,6,1500,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,14,12,857,11,8,727,15,10,667,19,14,737,- ,- ,- ,63,50,794
b) ,Sesamum ,- ,- ,- ,72,100,1389,34,38,1118,6,8,1333,10,7,700,27,22,815,255,209,820,77,71,922,1075,939,873,441,422,957,211,182,863,2208,1998,905
,Rape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c) ,,200,140,700,92,79,859,32,29,906,5,6,1200,11,9,818,79,69,873,329,253,769,560,588,1050,5430,5241,965,2738,2621,957,284,237,835,9760,9272,950
,&Mustard ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d) ,Soyabean ,232,287,1237,333,404,1213,41,44,1073,5,7,1400,57,89,1561,568,809,1424,89,91,1022,96,101,1052,129,748,5798,84,496,5905,15,31,2067,1649,3107,1884
e) ,Linseed ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,76,41,539,13,7,538,- ,- ,- ,89,48,539
f) ,Sunflower ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,532,1107,2080
g) ,Groundnut ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,890,2468,2773
TOTAL OILSEEDS ,,436,433,993,497,583,1173,107,111,1037,16,21,1313,78,105,1346,674,900,1335,687,565,822,744,768,1032,6725,6979,8842,3295,3560,1080,510,450,882,15191,18050,1188
7,Fibre Crops ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,- ,- ,- ,- ,- ,- ,1801,1653,156,863,743,146,3968,5396,231,441,565,218,,,,,,
 a) ,Cotton* ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,,,,,,,,,,,,,,,,,,202,245,206,7275,8602,201
 b) ,Jute** ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,42,474,2031,402,4507,2018,3850,39991,1870,1708,18047,1902,498,2523,912,6500,65542,1815
c) ,Mesta** ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,,,,,,19,117,1108,51,324,1144,2223,12715,1030,1299,7785,1079,883,5287,1078,4475,26228,1055
8,Other Crops ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5,4,800,7,8,1143,21,62,2952,17,52,3059,26,93,3577,11,40,3636,,,,,,
a) ,Sugarcane ,- ,- ,- ,- ,- ,- ,9,24,2667,- ,- ,- ,,,,,,,,,,,,,,,,,,,9,32,3556,105,315,3000
b) ,Tobacco ,- ,- ,- ,- ,- ,- ,40,58,1450,- ,- ,- ,- ,- ,- ,- ,- ,- ,99,92,929,133,121,910,230,208,904,152,150,987,126,101,802,780,730,936
GRAND TOTAL ,,11718,35204,3004,9327,22377,2399,9584,16575,1729,3239,5343,1650,4859,9507,1957,11931,22415,1879,13632,24747,1815,12081,26355,2182,55269,168928,3056,27958,90118,3223,12628,28832,2283,173648,453976,2614
, N.B.: ** Jute & Mesta = In bales of 180 Kgs/each,,,,,,,,,,,,,,,* Cotton = In bales of 170 Kgs/each,,,,,,,,,,,,,,,,,,,,,
Sd/-,,,,,,,, Sd/-,,,,,,,,, Sd/-,,,,,,,Sd/-,,,,,,,,Sd/-,,,,,
"Chairman,",,,,,,," Member Secretary,",,,,,,,,,,"Member,",,,,,,,Member,,,,,,,, Member,,,,,
State Level Crop Committee,,,,,,,,"Director,",,,,,,,,"Director of Agriculture,",,,,,,,"Director of Horticulture,",,,,,,,,"Director of Soil & Water Conservation,",,,,,,
"Join Secretary, Agriculture/Horticulture Deptt.",,,,,,,Economics & Statistics.,,,,,,,,,Government of Meghalaya.,,,,,,,Government of Meghalaya.,,,,,,,,Government of Meghalaya. ,,,,,,
 Government of Meghalaya.,,,,,,,Government of Meghalaya. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,, GOVERNMENT OF MEGHALAYA.,,,,,,,,,,,,,,,Area: In Hectares ,,,
,,,,,,,,,,,,,,,," DIRECTORATE OF AGRICULTURE, MEGHALAYA, SHILLONG.",,,,,,,,,,,,,,,,,Production: In Metric Tonnes,,,,
,STATE: MEGHALAYA,,,,,,,,,,,,,"DISTRICT WISE AREA, PRODUCTION & YIELD OF AGRICULTURAL CROPS FOR 2014-2015",,,,,,,,,,,,,,,,,,,Yield: In Kg/Hectare. ,,,,
,,Ri-Bhoi District ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,East Khasi Hills ,,,West Khasi Hills ,,,South west Khasi Hills ,,,East Jaintia Hills ,,,WestJaintia Hills ,,,East Garo Hills ,,,North,Garo Hills ,,West Garo Hills ,,,South West Garo ,,,South Garo Hills ,,,TOTAL MEGHALAYA ,,
Sl. ,NAME OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No. ,CROPS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Area ,Prodn. ,AY ,Area ,Prodn. ,AY ,Area ,Prodn. ,AY ,Area ,Prodn. ,AY ,Area ,Prodn. ,AY ,Area ,Prodn. ,AY ,Area ,Prodn. ,AY ,Area ,Prodn ,AY ,Area ,Prodn. ,AY ,Area ,Prodn. ,AY ,Area ,Prodn. ,AY ,Area ,Prodn. ,AY 
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
1,RICE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) ,Autumn Rice ,158,494,3127,281,896,3189,26,64,2462,62,138,2226,27,66,2444,78,198,2538,5845,14605,2499,4993,12110,2425,11313,25383,2244,5414,11835,2186,4905,10543,2149,33102,76332,2306
b) ,Winter Rice ,9278,31115,3354,5435,12335,2270,5980,10858,1816,1722,3105,1803,4341,8937,2059,7920,16941,2139,3157,5821,1844,3687,7766,2106,11352,33035,2910,7380,21175,2869,3349,7832,2339,63601,158920,2499
c) ,Spring Rice ,183,386,2109,127,260,2047,21,47,2238,35,89,2543,21,47,2238,78,176,2256,30,53,1767,84,127,1512,7845,37561,4788,4924,23599,4793,272,342,1257,13620,62687,4603
TOTAL RICE ,,9619,31995,3326,5843,13491,2309,6027,10969,1820,1819,3332,1832,4389,9050,2062,8076,17315,2144,9032,20479,2267,8764,20003,2282,30510,95979,3146,17718,56609,3195,8526,18717,2195,110323,297939,2701
2,Wheat ,- ,- ,- ,- ,- ,- ,5,7,1400,- ,- ,- ,- ,- ,- ,- ,- ,- ,15,17,1133,40,51,1275,185,373,2016,197,396,2010,- ,- ,- ,442,844,1910
3,Maize ,2079,6787,3265,2833,9442,3333,4128,7920,1919,1856,3135,1689,473,1072,2266,3840,7196,1874,1040,2127,2045,416,702,1688,4388,9961,2270,1983,4875,2458,1371,2355,1718,24407,55572,2277
,SMALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,MILLETS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) ,Finger Millet ,12,14,1167,72,87,1208,173,206,1191,25,31,1240,- ,- ,- ,156,204,1308,216,171,792,36,29,806,204,146,716,- ,- ,- ,25,38,1520,919,926,1008
b) ,Foxtail Millet ,10,12,1200,50,70,1400,42,56,1333,5,7,1400,- ,- ,- ,48,71,1479,162,212,1309,36,46,1278,829,503,607,207,146,705,154,181,1175,1543,1304,845
c) ,Pearl Millet ,- ,- ,- ,45,53,1178,48,52,1083,7,9,1286,- ,- ,-- ,- ,- ,- ,50,49,980,30,32,1067,57,34,596,26,11,423,58,70,1207,321,310,966
d) ,Job’s tear ,- ,- ,- ,50,41,820,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,50,41,820
e) ,Other Millets ,5,5,1000,40,63,1575,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,45,68,1511
TOTAL SMALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MILLETS ,27,31,1148,257,314,1222,263,314,1194,37,47,1270,- ,- ,- ,204,275,1348,428,432,1009,102,107,1049,1090,683,627,233,157,674,237,289,1219,2878,2649,920
5,PULSES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) ,Pea ,58,66,1138,563,1993,3540,55,122,2218,6,13,2167,18,17,944,102,111,1088,194,210,1082,106,119,1123,730,889,1218,303,409,1350,100,331,3310,2235,4280,1915
b) ,Cow Pea ,11,16,1455,16,52,3250,14,22,1571,3,8,2667,22,22,1000,34,39,1147,122,106,869,107,88,822,819,1493,1823,149,227,1523,325,299,920,1622,2372,1462
c) ,Lentil ,- ,- ,- ,75,153,2040,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,17,25,1471,25,38,1520,635,619,975,448,432,964,34,51,1500,1234,1318,1068
d) ,Tur (Arhar) ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,71,69,972,48,46,958,577,801,1388,316,444,1405,136,105,772,1148,1465,1276
e) ,Gram ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,313,296,946,407,416,1022,747,763,1021,277,322,1162,70,74,1057,1814,1871,1031
TOTAL,PULSES ,69,82,1188,654,2198,3361,69,144,2087,9,21,2333,40,39,975,136,150,1103,717,706,985,693,707,1020,3508,4565,1301,1493,1834,1228,665,860,1293,8053,11306,1404
TOTAL FOODGRAINS ,,11794,38895,3298,9587,25445,2654,10492,19354,1845,3721,6535,1756,4902,10161,2073,12256,24936,2035,11232,23761,2115,10015,21570,2154,39681,111561,2811,21624,63871,2954,10799,22221,2058,146103,368310,2521
6,OILSEEDS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) ,Castor ,5,8,1600,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,15,14,933,11,9,818,16,11,688,20,16,800,- ,- ,- ,67,58,866
b) ,Sesamum ,- ,- ,- ,73,105,1438,35,41,1171,6,9,1500,10,8,800,28,23,821,256,217,848,77,76,987,1078,967,897,442,433,980,215,187,870,2220,2066,931
,Rape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c) ,&Mustard ,201,146,726,93,81,871,32,30,938,5,6,1200,11,9,818,80,71,888,329,256,778,562,601,1069,5434,5253,967,2743,2651,966,285,243,853,9775,9347,956
d) ,Soyabean ,241,307,1274,346,433,1251,43,47,1093,5,7,1400,60,95,1583,588,868,1476,92,97,1054,100,110,1100,134,805,6007,87,529,6080,16,34,2125,1712,3332,1946
e) ,Linseed ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,77,43,558,13,7,538,- ,- ,- ,90,50,556
f) ,Sunflower ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,537,1128,2101
g) ,Groundnut ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,915,2547,2784
TOTAL OILSEEDS ,,447,461,1031,512,619,1209,110,118,1073,16,22,1375,81,112,1383,696,962,1382,692,584,844,750,796,1061,6739,7079,1050,3305,3636,1100,516,464,899,15316,18528,1210
