Date,T2M,RH2M,PRECTOT,Year,Month
1997-01-01,12.08,53.41,,1997,1
1997-01-02,11.61,59.81,,1997,1
1997-01-03,11.43,64.8,,1997,1
1997-01-04,11.83,65.02,,1997,1
1997-01-05,11.29,66.01,,1997,1
1997-01-06,10.97,68.49,,1997,1
1997-01-07,9.6,73.83,,1997,1
1997-01-08,10.45,62.89,,1997,1
1997-01-09,10.71,64.78,,1997,1
1997-01-10,10.49,65.57,,1997,1
1997-01-11,11.32,56.73,,1997,1
1997-01-12,10.13,52.24,,1997,1
1997-01-13,8.6,53.24,,1997,1
1997-01-14,8.47,48.11,,1997,1
1997-01-15,9.25,52.13,,1997,1
1997-01-16,9.45,61.78,,1997,1
1997-01-17,9.06,67.83,,1997,1
1997-01-18,9.2,63.49,,1997,1
1997-01-19,9.56,63.36,,1997,1
1997-01-20,10.44,57.2,,1997,1
1997-01-21,7.6,69.56,,1997,1
1997-01-22,7.01,79.68,,1997,1
1997-01-23,7.21,75.45,,1997,1
1997-01-24,6.57,64.66,,1997,1
1997-01-25,7.08,56.19,,1997,1
1997-01-26,6.87,64.12,,1997,1
1997-01-27,8.95,64.27,,1997,1
1997-01-28,10.42,54.19,,1997,1
1997-01-29,9.58,55.15,,1997,1
1997-01-30,9.5,55.5,,1997,1
1997-01-31,8.86,50.55,,1997,1
1997-02-01,10.29,47.99,,1997,2
1997-02-02,9.28,44.97,,1997,2
1997-02-03,10.02,46.86,,1997,2
1997-02-04,9.6,75.94,,1997,2
1997-02-05,9.32,76.36,,1997,2
1997-02-06,8.67,56.38,,1997,2
1997-02-07,8.52,50.17,,1997,2
1997-02-08,7.46,48.07,,1997,2
1997-02-09,8.83,36.3,,1997,2
1997-02-10,9.12,51.15,,1997,2
1997-02-11,10.54,74.53,,1997,2
1997-02-12,10.64,61.1,,1997,2
1997-02-13,10.19,48.79,,1997,2
1997-02-14,9.89,44.06,,1997,2
1997-02-15,10.3,56.04,,1997,2
1997-02-16,11.34,62.75,,1997,2
1997-02-17,12.27,56.18,,1997,2
1997-02-18,12.47,42.74,,1997,2
1997-02-19,12.46,43.9,,1997,2
1997-02-20,12.64,59.22,,1997,2
1997-02-21,11.78,49.94,,1997,2
1997-02-22,10.96,38.87,,1997,2
1997-02-23,10.91,37.4,,1997,2
1997-02-24,10.86,47.67,,1997,2
1997-02-25,12.38,50.45,,1997,2
1997-02-26,13.77,48.69,,1997,2
1997-02-27,12.55,76.95,,1997,2
1997-02-28,13.68,66.19,,1997,2
1997-03-01,14.13,47.74,,1997,3
1997-03-02,15.73,38.1,,1997,3
1997-03-03,15.47,38.22,,1997,3
1997-03-04,14.91,43.69,,1997,3
1997-03-05,15.7,32.79,,1997,3
1997-03-06,15.31,34.93,,1997,3
1997-03-07,16.98,33.54,,1997,3
1997-03-08,17.59,33.99,,1997,3
1997-03-09,17.55,34.75,,1997,3
1997-03-10,17.21,36.92,,1997,3
1997-03-11,16.96,42.32,,1997,3
1997-03-12,17.3,46.35,,1997,3
1997-03-13,17.42,49.12,,1997,3
1997-03-14,17.18,68.43,,1997,3
1997-03-15,16.81,64.68,,1997,3
1997-03-16,16.65,63.37,,1997,3
1997-03-17,16.83,63.77,,1997,3
1997-03-18,15.99,58.85,,1997,3
1997-03-19,17.06,57.13,,1997,3
1997-03-20,17.87,54.89,,1997,3
1997-03-21,16.95,56.91,,1997,3
1997-03-22,16.74,55.68,,1997,3
1997-03-23,16.1,66.83,,1997,3
1997-03-24,16.2,77.98,,1997,3
1997-03-25,15.09,78.53,,1997,3
1997-03-26,16.53,66.36,,1997,3
1997-03-27,18.07,57.88,,1997,3
1997-03-28,17.49,61.57,,1997,3
1997-03-29,18.05,61.81,,1997,3
1997-03-30,15.61,81.41,,1997,3
1997-03-31,15.46,75.15,,1997,3
1997-04-01,15.21,75.78,,1997,4
1997-04-02,15.83,80.8,,1997,4
1997-04-03,16.35,84.35,,1997,4
1997-04-04,16.6,79.03,,1997,4
1997-04-05,17.14,71.26,,1997,4
1997-04-06,15.83,58.77,,1997,4
1997-04-07,15.94,54.16,,1997,4
1997-04-08,14.97,69.09,,1997,4
1997-04-09,16.43,65.82,,1997,4
1997-04-10,16.69,69.73,,1997,4
1997-04-11,16.49,68.95,,1997,4
1997-04-12,16.3,72.55,,1997,4
1997-04-13,16.88,73.84,,1997,4
1997-04-14,18.66,67.44,,1997,4
1997-04-15,17.44,77.47,,1997,4
1997-04-16,17.71,78.58,,1997,4
1997-04-17,18.25,79.89,,1997,4
1997-04-18,18.35,74.71,,1997,4
1997-04-19,20.22,49.86,,1997,4
1997-04-20,18.98,57.29,,1997,4
1997-04-21,18.98,66.04,,1997,4
1997-04-22,20.0,62.45,,1997,4
1997-04-23,18.18,71.31,,1997,4
1997-04-24,19.24,63.55,,1997,4
1997-04-25,19.89,63.45,,1997,4
1997-04-26,18.17,69.45,,1997,4
1997-04-27,17.91,71.85,,1997,4
1997-04-28,18.15,82.59,,1997,4
1997-04-29,19.68,78.9,,1997,4
1997-04-30,20.82,75.88,,1997,4
1997-05-01,21.0,74.06,,1997,5
1997-05-02,20.93,71.39,,1997,5
1997-05-03,20.5,74.52,,1997,5
1997-05-04,20.11,73.34,,1997,5
1997-05-05,20.99,64.54,,1997,5
1997-05-06,20.1,82.13,,1997,5
1997-05-07,18.07,84.36,,1997,5
1997-05-08,19.98,67.94,,1997,5
1997-05-09,19.8,71.59,,1997,5
1997-05-10,19.62,78.8,,1997,5
1997-05-11,20.14,70.75,,1997,5
1997-05-12,19.92,67.62,,1997,5
1997-05-13,20.77,78.31,,1997,5
1997-05-14,21.68,78.41,,1997,5
1997-05-15,22.51,72.4,,1997,5
1997-05-16,22.56,69.08,,1997,5
1997-05-17,22.18,71.86,,1997,5
1997-05-18,21.4,76.94,,1997,5
1997-05-19,18.34,87.95,,1997,5
1997-05-20,20.55,78.44,,1997,5
1997-05-21,21.02,83.03,,1997,5
1997-05-22,20.9,82.13,,1997,5
1997-05-23,20.01,89.03,,1997,5
1997-05-24,20.42,84.56,,1997,5
1997-05-25,19.43,88.5,,1997,5
1997-05-26,19.32,73.44,,1997,5
1997-05-27,19.61,85.74,,1997,5
1997-05-28,21.38,78.82,,1997,5
1997-05-29,20.7,82.85,,1997,5
1997-05-30,20.68,84.81,,1997,5
1997-05-31,20.69,84.74,,1997,5
1997-06-01,21.15,85.1,,1997,6
1997-06-02,21.16,87.98,,1997,6
1997-06-03,20.77,89.33,,1997,6
1997-06-04,21.34,85.07,,1997,6
1997-06-05,21.72,84.77,,1997,6
1997-06-06,21.84,86.9,,1997,6
1997-06-07,22.57,86.35,,1997,6
1997-06-08,21.38,90.12,,1997,6
1997-06-09,21.48,90.7,,1997,6
1997-06-10,20.72,90.93,,1997,6
1997-06-11,20.59,86.86,,1997,6
1997-06-12,20.99,87.95,,1997,6
1997-06-13,20.97,87.79,,1997,6
1997-06-14,21.61,87.22,,1997,6
1997-06-15,21.75,89.96,,1997,6
1997-06-16,22.53,88.61,,1997,6
1997-06-17,21.79,92.19,,1997,6
1997-06-18,21.45,87.97,,1997,6
1997-06-19,22.04,82.95,,1997,6
1997-06-20,22.49,85.78,,1997,6
1997-06-21,22.05,90.13,,1997,6
1997-06-22,21.79,87.77,,1997,6
1997-06-23,23.33,82.64,,1997,6
1997-06-24,23.68,82.81,,1997,6
1997-06-25,23.56,85.81,,1997,6
1997-06-26,23.18,86.16,,1997,6
1997-06-27,22.06,94.87,,1997,6
1997-06-28,21.65,91.84,,1997,6
1997-06-29,22.13,92.11,,1997,6
1997-06-30,23.11,91.4,,1997,6
1997-07-01,22.74,93.91,,1997,7
1997-07-02,22.67,90.71,,1997,7
1997-07-03,21.99,90.2,,1997,7
1997-07-04,22.78,90.81,,1997,7
1997-07-05,22.66,92.4,,1997,7
1997-07-06,22.85,93.1,,1997,7
1997-07-07,22.1,94.48,,1997,7
1997-07-08,22.57,94.38,,1997,7
1997-07-09,22.27,94.33,,1997,7
1997-07-10,20.59,95.21,,1997,7
1997-07-11,21.32,93.99,,1997,7
1997-07-12,22.23,94.33,,1997,7
1997-07-13,21.84,93.58,,1997,7
1997-07-14,22.69,91.71,,1997,7
1997-07-15,22.35,93.64,,1997,7
1997-07-16,23.52,87.84,,1997,7
1997-07-17,23.32,88.69,,1997,7
1997-07-18,22.65,89.46,,1997,7
1997-07-19,22.06,89.07,,1997,7
1997-07-20,21.68,90.88,,1997,7
1997-07-21,21.47,91.46,,1997,7
1997-07-22,22.42,87.4,,1997,7
1997-07-23,22.99,83.31,,1997,7
1997-07-24,23.28,84.23,,1997,7
1997-07-25,22.32,94.65,,1997,7
1997-07-26,22.35,93.32,,1997,7
1997-07-27,23.28,89.67,,1997,7
1997-07-28,24.14,87.0,,1997,7
1997-07-29,23.14,90.79,,1997,7
1997-07-30,23.24,90.43,,1997,7
1997-07-31,22.76,91.93,,1997,7
1997-08-01,23.03,90.27,,1997,8
1997-08-02,22.84,93.43,,1997,8
1997-08-03,23.23,89.77,,1997,8
1997-08-04,23.84,88.41,,1997,8
1997-08-05,22.27,90.65,,1997,8
1997-08-06,21.56,92.17,,1997,8
1997-08-07,22.47,90.81,,1997,8
1997-08-08,22.74,91.88,,1997,8
1997-08-09,22.15,93.29,,1997,8
1997-08-10,21.6,92.39,,1997,8
1997-08-11,21.56,95.83,,1997,8
1997-08-12,21.67,91.84,,1997,8
1997-08-13,20.92,94.73,,1997,8
1997-08-14,21.05,92.11,,1997,8
1997-08-15,22.08,93.08,,1997,8
1997-08-16,22.3,91.91,,1997,8
1997-08-17,22.41,91.18,,1997,8
1997-08-18,22.79,89.87,,1997,8
1997-08-19,22.18,88.67,,1997,8
1997-08-20,20.86,90.81,,1997,8
1997-08-21,21.1,92.48,,1997,8
1997-08-22,20.84,92.59,,1997,8
1997-08-23,21.91,88.75,,1997,8
1997-08-24,22.85,84.72,,1997,8
1997-08-25,22.38,87.98,,1997,8
1997-08-26,21.4,91.52,,1997,8
1997-08-27,23.24,86.22,,1997,8
1997-08-28,23.05,89.03,,1997,8
1997-08-29,21.11,96.06,,1997,8
1997-08-30,20.87,93.89,,1997,8
1997-08-31,20.44,95.98,,1997,8
1997-09-01,20.66,92.6,,1997,9
1997-09-02,21.97,91.88,,1997,9
1997-09-03,22.06,94.79,,1997,9
1997-09-04,21.78,94.08,,1997,9
1997-09-05,21.35,97.84,,1997,9
1997-09-06,20.68,94.95,,1997,9
1997-09-07,22.14,89.42,,1997,9
1997-09-08,21.73,88.5,,1997,9
1997-09-09,21.31,88.82,,1997,9
1997-09-10,20.98,89.22,,1997,9
1997-09-11,20.2,93.78,,1997,9
1997-09-12,20.38,96.54,,1997,9
1997-09-13,20.82,92.77,,1997,9
1997-09-14,20.93,93.63,,1997,9
1997-09-15,20.72,94.38,,1997,9
1997-09-16,20.64,96.92,,1997,9
1997-09-17,19.95,92.36,,1997,9
1997-09-18,20.37,91.81,,1997,9
1997-09-19,21.03,94.61,,1997,9
1997-09-20,20.56,90.58,,1997,9
1997-09-21,21.27,82.54,,1997,9
1997-09-22,20.57,91.62,,1997,9
1997-09-23,20.46,95.57,,1997,9
1997-09-24,20.46,90.6,,1997,9
1997-09-25,20.34,90.99,,1997,9
1997-09-26,19.5,93.99,,1997,9
1997-09-27,15.85,95.59,,1997,9
1997-09-28,17.94,88.28,,1997,9
1997-09-29,18.81,91.54,,1997,9
1997-09-30,18.68,93.08,,1997,9
1997-10-01,18.11,82.72,,1997,10
1997-10-02,18.3,82.05,,1997,10
1997-10-03,18.33,83.92,,1997,10
1997-10-04,18.99,80.9,,1997,10
1997-10-05,19.79,73.85,,1997,10
1997-10-06,19.33,82.6,,1997,10
1997-10-07,19.48,86.02,,1997,10
1997-10-08,19.28,90.11,,1997,10
1997-10-09,19.53,88.97,,1997,10
1997-10-10,18.1,88.51,,1997,10
1997-10-11,18.02,78.67,,1997,10
1997-10-12,17.27,83.02,,1997,10
1997-10-13,17.66,83.87,,1997,10
1997-10-14,17.42,84.72,,1997,10
1997-10-15,17.02,84.66,,1997,10
1997-10-16,18.06,81.05,,1997,10
1997-10-17,18.1,80.85,,1997,10
1997-10-18,18.06,76.32,,1997,10
1997-10-19,17.13,76.25,,1997,10
1997-10-20,17.8,77.19,,1997,10
