Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Avg_Temp,Avg_Humidity,Total_Rainfall_Season
Ginger,1997,Kharif,Meghalaya,7357.0,45260,3818.2,700165.69,2280.67,6.054285714,20.918823529411764,88.92019607843137,0.0
Maize,1997,Kharif,Meghalaya,17175.0,24878,3818.2,1634544.75,5324.25,1.444285714,20.918823529411764,88.92019607843137,0.0
Potato,1997,Whole Year,Meghalaya,20764.0,200509,3818.2,1976109.88,6436.84,8.641428571,17.158575342465753,77.3053698630137,0.0
Rice,1997,Kharif,Meghalaya,105170.0,150101,3818.2,10009028.9,32602.7,1.378571429,20.918823529411764,88.92019607843137,0.0
Turmeric,1997,Whole Year,Meghalaya,1401.0,7126,3818.2,133333.17,434.31,5.425714286,17.158575342465753,77.3053698630137,0.0
Ginger,1998,Kharif,Meghalaya,7403.0,45590,6552.7,731416.4,2146.87,6.008571429,21.834640522875816,90.41019607843137,0.0
Maize,1998,Kharif,Meghalaya,17219.0,25272,6552.7,1701237.2,4993.51,1.457142857,21.834640522875816,90.41019607843137,0.0
Potato,1998,Whole Year,Meghalaya,20753.0,201059,6552.7,2050396.4,6018.37,7.738571429,17.841917808219176,79.7338904109589,0.0
Rice,1998,Kharif,Meghalaya,105402.0,149742,6552.7,10413717.6,30566.58,1.51,21.834640522875816,90.41019607843137,0.0
Turmeric,1998,Whole Year,Meghalaya,1375.0,6997,6552.7,135850.0,398.75,5.624285714,17.841917808219176,79.7338904109589,0.0
Ginger,1999,Kharif,Meghalaya,7606.0,44710,6200.3,807224.78,2053.62,5.765714286,21.530130718954247,89.95986928104575,0.0
Maize,1999,Kharif,Meghalaya,16637.0,24051,6200.3,1765684.81,4491.99,1.448571429,21.530130718954247,89.95986928104575,0.0
Potato,1999,Whole Year,Meghalaya,18339.0,143287,6200.3,1946318.07,4951.53,6.858571429,18.374356164383563,76.12775342465753,0.0
Rice,1999,Kharif,Meghalaya,102482.0,156887,6200.3,10876414.66,27670.14,1.605714286,21.530130718954247,89.95986928104575,0.0
Rice,1999,Rabi,Meghalaya,3929.0,13846,6200.3,416984.77,1060.83,1.755714286,13.804670329670328,69.69796703296704,0.0
Turmeric,1999,Whole Year,Meghalaya,1458.0,8196,6200.3,154737.54,393.66,5.284285714,18.374356164383563,76.12775342465753,0.0
Ginger,2000,Kharif,Meghalaya,7811.0,44900,6258.8,766805.87,2030.86,5.897142857,21.461764705882352,89.68581699346406,0.0
Maize,2000,Kharif,Meghalaya,16906.0,24250,6258.8,1659662.02,4395.56,1.437142857,21.461764705882352,89.68581699346406,0.0
Potato,2000,Whole Year,Meghalaya,18318.0,144292,6258.8,1798278.06,4762.68,6.954285714,17.52204918032787,79.14224043715848,0.0
Rice,2000,Kharif,Meghalaya,102657.0,165907,6258.8,10077837.69,26690.82,1.681428571,21.461764705882352,89.68581699346406,0.0
Rice,2000,Rabi,Meghalaya,4003.0,13135,6258.8,392974.51,1040.78,1.744285714,14.02983425414365,66.75779005524862,0.0
Turmeric,2000,Whole Year,Meghalaya,1523.0,8565,6258.8,149512.91,395.98,5.464285714,17.52204918032787,79.14224043715848,0.0
